markername	NearestGene	chr	pos	eaf	OR	Pvalue	novel
rs11206510	PCSK9	1	55496039	0.847627	1.08	2.34E-08	FALSE
rs9970807	PPAP2B	1	56965664	0.915097	1.13	5E-14	FALSE
rs7528419	SORT1	1	109817192	0.78582	1.12	1.97E-23	FALSE
rs6689306	IL6R	1	154395946	0.447545	1.06	2.6E-09	FALSE
rs67180937	MIA3	1	222823743	0.663052	1.08	1.01E-12	FALSE
rs16986953	AK097927	2	19942473	0.104706	1.09	1.45E-08	FALSE
chr2:21378433:D	APOB	2	21378433	0.745655	1.07	2.89E-08	FALSE
chr2:44074126:D	ABCG5-ABCG8	2	44074126	0.744839	1.06	0.000000026	FALSE
rs7568458	VAMP5-VAMP8-GGCX	2	85788175	0.448518	1.06	3.62E-10	FALSE
rs17678683	ZEB2-ACO74093.1	2	145286559	0.087681	1.1	0.000000003	FALSE
chr2:203828796:I	WDR12	2	203828796	0.107909	1.15	2.15E-18	FALSE
chr3:138099161:I	MRAS	3	138099161	0.162797	1.08	2.89E-09	FALSE
rs4593108	EDNRA	4	148281001	0.795349	1.07	8.82E-10	FALSE
rs72689147	GUCY1A3	4	156639888	0.816978	1.07	6.07E-09	FALSE
rs273909	SLC22A4-SLC22A5	5	131667353	0.116756	1.06	0.000124	FALSE
rs6903956	ADTRP-C6orf105	6	11774583	0.354055	1	0.96	FALSE
rs9349379	PHACTR1	6	12903957	0.431606	1.14	1.81E-42	FALSE
rs17609940	ANKS1A	6	35034800	0.823672	1.03	0.03	FALSE
rs56336142	KCNK5	6	39134099	0.807262	1.07	1.85E-08	FALSE
rs12202017	TCF21*	6	134173151	0.699953	1.07	1.98E-11	FALSE
rs55730499	SLC22A3-LPAL2-LPA	6	161005610	0.056243	1.37	5.39E-39	FALSE
rs4252185	PLG	6	161123451	0.059661	1.34	1.64E-32	FALSE
rs2107595	HDAC9	7	19049388	0.20047	1.08	8.05E-11	FALSE
rs10953541	7q22	7	107244545	0.782727	1.05	0.0000102	FALSE
rs11556924	ZC3HC1	7	129663496	0.686675	1.08	5.34E-11	FALSE
rs264	LPL	8	19813180	0.852594	1.06	0.0000106	FALSE
rs2954029	TRIB1	8	126490972	0.551395	1.04	0.00000261	FALSE
rs2891168	9p21	9	22098619	0.488668	1.21	2.29E-98	FALSE
rs2519093	ABO	9	136141870	0.190872	1.08	1.19E-11	FALSE
rs2487928	KIAA1462	10	30323892	0.418221	1.06	4.41E-11	FALSE
rs1870634	CXCL12	10	44480811	0.637485	1.08	5.55E-15	FALSE
rs1412444	LIPA	10	91002927	0.369131	1.07	5.15E-12	FALSE
rs11191416	CYP17A1-CNNM2-NT5C2	10	104604916	0.87253	1.08	4.65E-09	FALSE
rs2128739	PDGFD	11	103673277	0.323536	1.07	7.05E-11	FALSE
rs964184	ZNF259-APOA5-APOA1	11	116648917	0.184706	1.05	0.000056	FALSE
rs2681472	ATP2B1 	12	90008959	0.201306	1.08	6.17E-11	FALSE
rs3184504	SH2B3	12	111884608	0.421808	1.07	1.03E-09	FALSE
rs9319428	FLT1	13	28973621	0.314419	1.04	0.0000713	FALSE
rs11838776	COL4A1/A2	13	111040681	0.263277	1.07	1.83E-10	FALSE
rs10139550	HHIPL1	14	100145710	0.423033	1.06	1.38E-08	FALSE
rs4468572	ADAMTS7	15	79124475	0.585831	1.08	4.44E-16	FALSE
rs17514846	FURIN-FES	15	91416550	0.440264	1.05	0.00000031	FALSE
rs216172	SMG6	17	2126504	0.349997	1.05	0.000000507	FALSE
rs12936587	RAI1-PEMT-RASD1	17	17543722	0.61133	1.03	0.000824	FALSE
rs46522	UBE2Z	17	46988597	0.513272	1.04	0.0000184	FALSE
rs56289821	LDLR	19	11188247	0.899622	1.14	4.44E-15	FALSE
rs4420638	APOE-APOC1 	19	45422946	0.166036	1.1	7.07E-11	FALSE
rs28451064	KCNE2 (gene desert)	21	35593827	0.121186	1.14	1.33E-15	FALSE
rs17087335	REST-NOA1	4	57838583	0.214637	1.06	4.59E-08	TRUE
rs3918226	NOS3	7	150690176	0.064515	1.14	1.69E-09	TRUE
rs10840293	SWAP70	11	9751196	0.549821	1.06	1.28E-08	TRUE
rs56062135	SMAD3	15	67455630	0.794271	1.07	4.52E-09	TRUE
rs8042271	MFGE8-ABHD2	15	89574218	0.902282	1.1	3.68E-08	TRUE
rs7212798	BCAS3	17	59013488	0.146516	1.08	1.88E-08	TRUE
rs663129	PMAIP1-MC4R	18	57838401	0.256835	1.06	0.000000032	TRUE
rs180803	POM121L9P-ADORA2A	22	24658858	0.970732	1.2	1.64E-10	TRUE
