markername	gene	chr	pos	EAF	OR	pvalue	novel
rs11206510	PCSK9	1	55496039	0.85	1.08	2.34E-08	FALSE
rs9970807	PPAP2B	1	56965664	0.92	1.13	5.00E-14	FALSE
rs7528419	SORT1	1	109817192	0.79	1.12	1.97E-23	FALSE
rs6689306	IL6R	1	154395946	0.45	1.06	2.60E-09	FALSE
rs67180937	MIA3	1	222823743	0.66	1.08	1.01E-12	FALSE
rs16986953	AK097927	2	19942473	0.1	1.09	1.45E-08	FALSE
2:21378433:D	APOB	2	21378433	0.75	1.07	2.89E-08	FALSE
2:44074126:D	ABCG5-ABCG8	2	44074126	0.74	1.06	2.60E-08	FALSE
rs7568458	VAMP5-VAMP8-GGCX	2	85788175	0.45	1.06	3.62E-10	FALSE
rs17678683	ZEB2-ACO74093.1	2	145286559	0.09	1.1	3.00E-09	FALSE
2:203828796:I	WDR12	2	203828796	0.11	1.15	2.15E-18	FALSE
3:138099161:I	MRAS	3	138099161	0.16	1.08	2.89E-09	FALSE
rs4593108	EDNRA	4	148281001	0.8	1.07	8.82E-10	FALSE
rs72689147	GUCY1A3	4	156639888	0.82	1.07	6.07E-09	FALSE
rs273909	SLC22A4-SLC22A5	5	131667353	0.12	1.06	1.24E-04	FALSE
rs6903956	ADTRP-C6orf105	6	11774583	0.35	1	9.60E-01	FALSE
rs9349379	PHACTR1	6	12903957	0.43	1.14	1.81E-42	FALSE
rs17609940	ANKS1A	6	35034800	0.82	1.03	3.00E-02	FALSE
rs56336142	KCNK5	6	39134099	0.81	1.07	1.85E-08	FALSE
rs12202017	TCF21*	6	134173151	0.7	1.07	1.98E-11	FALSE
rs55730499	SLC22A3-LPAL2-LPA	6	161005610	0.06	1.37	5.39E-39	FALSE
rs4252185	PLG	6	161123451	0.06	1.34	1.64E-32	FALSE
rs2107595	HDAC9	7	19049388	0.2	1.08	8.05E-11	FALSE
rs10953541	7q22	7	107244545	0.78	1.05	1.02E-05	FALSE
rs11556924	ZC3HC1	7	129663496	0.69	1.08	5.34E-11	FALSE
rs264	LPL	8	19813180	0.85	1.06	1.06E-05	FALSE
rs2954029	TRIB1	8	126490972	0.55	1.04	2.61E-06	FALSE
rs2891168	9p21	9	22098619	0.49	1.21	2.29E-98	FALSE
rs2519093	ABO	9	136141870	0.19	1.08	1.19E-11	FALSE
rs2487928	KIAA1462	10	30323892	0.42	1.06	4.41E-11	FALSE
rs1870634	CXCL12	10	44480811	0.64	1.08	5.55E-15	FALSE
rs1412444	LIPA	10	91002927	0.37	1.07	5.15E-12	FALSE
rs11191416	CYP17A1-CNNM2-NT5C2	10	104604916	0.87	1.08	4.65E-09	FALSE
rs2128739	PDGFD	11	103673277	0.32	1.07	7.05E-11	FALSE
rs964184	ZNF259-APOA5-APOA1	11	116648917	0.18	1.05	5.60E-05	FALSE
rs2681472	ATP2B1 	12	90008959	0.2	1.08	6.17E-11	FALSE
rs3184504	SH2B3	12	111884608	0.42	1.07	1.03E-09	FALSE
rs9319428	FLT1	13	28973621	0.31	1.04	7.13E-05	FALSE
rs11838776	COL4A1/A2	13	111040681	0.26	1.07	1.83E-10	FALSE
rs10139550	HHIPL1	14	100145710	0.42	1.06	1.38E-08	FALSE
rs4468572	ADAMTS7	15	79124475	0.59	1.08	4.44E-16	FALSE
rs17514846	FURIN-FES	15	91416550	0.44	1.05	3.10E-07	FALSE
rs216172	SMG6	17	2126504	0.35	1.05	5.07E-07	FALSE
rs12936587	RAI1-PEMT-RASD1	17	17543722	0.61	1.03	8.24E-04	FALSE
rs46522	UBE2Z	17	46988597	0.51	1.04	1.84E-05	FALSE
rs56289821	LDLR	19	11188247	0.9	1.14	4.44E-15	FALSE
rs4420638	APOE-APOC1 	19	45422946	0.17	1.1	7.07E-11	FALSE
rs28451064	KCNE2 (gene desert)	21	35593827	0.12	1.14	1.33E-15	FALSE
rs17087335	REST-NOA1	4	57838583	0.21	1.06	4.59E-08	TRUE
rs3918226	NOS3	7	150690176	0.06	1.14	1.69E-09	TRUE
rs10840293	SWAP70	11	9751196	0.55	1.06	1.28E-08	TRUE
rs56062135	SMAD3	15	67455630	0.79	1.07	4.52E-09	TRUE
rs8042271	MFGE8-ABHD2	15	89574218	0.9	1.1	3.68E-08	TRUE
rs7212798	BCAS3	17	59013488	0.15	1.08	1.88E-08	TRUE
rs663129	PMAIP1-MC4R	18	57838401	0.26	1.06	3.20E-08	TRUE
rs180803	POM121L9P-ADORA2A	22	24658858	0.97	1.2	1.64E-10	TRUE
